medium	description	compound	name	vmh.id	modelseed	maxFlux
TSB	Tryptic soy broth	pi	Phosphate	pi	cpd00009	1.6543927961
TSB	Tryptic soy broth	na1	Na+	na1	cpd00971	0.76558354
TSB	Tryptic soy broth	k	K+	k	cpd00205	1.4223233925
TSB	Tryptic soy broth	mg2	Mg	mg2	cpd00254	0.3457624769
TSB	Tryptic soy broth	fe2	Fe2+	fe2	cpd10515	0.844607808
TSB	Tryptic soy broth	fe3	fe3	fe3	cpd10516	0.844607808
TSB	Tryptic soy broth	cu2	Cu2+	cu2	cpd00058	0.7872879489
TSB	Tryptic soy broth	zn2	Zn2+	zn2	cpd00034	0.232987152
TSB	Tryptic soy broth	mn2	Mn2+	mn2	cpd00030	0.13753868
TSB	Tryptic soy broth	fol	Folate	fol	cpd00393	0.2564114182
TSB	Tryptic soy broth	thm	Thiamine	thm	cpd00305	0.9881288864
TSB	Tryptic soy broth	ribflv	Riboflavin	ribflv	cpd00220	0.6934665356
TSB	Tryptic soy broth	nac	Niacin	nac	cpd00218	0.3955018869
TSB	Tryptic soy broth	pant__R	PAN	pant_R	cpd00644	0.1085112206
TSB	Tryptic soy broth	pydx	Pyridoxal	pydx	cpd00215	0.457631645
TSB	Tryptic soy broth	chol	Choline	chol	cpd00098	0.3337787557
TSB	Tryptic soy broth	ascb__L	L-Ascorbate	ascb_L	cpd00059	0.1022030434
TSB	Tryptic soy broth	gtocophe	Gamma-Tocopherol	gtocophe	cpd01631	0.6119804166
TSB	Tryptic soy broth	phllqne	Vitamin K1	phllqne	cpd01401	0.3128466829
TSB	Tryptic soy broth	cl	Cl-	cl	cpd00099	100
TSB	Tryptic soy broth	h	H+	h	cpd00067	100
TSB	Tryptic soy broth	cobalt2	Co2+	cobalt2	cpd00149	100
TSB	Tryptic soy broth	pheme	Heme	pheme	cpd00028	0.1
TSB	Tryptic soy broth	so4	Sulfate	so4	cpd00048	100
TSB[-O2]	Tryptic soy broth anaerobic	h2o	H2O	h2o	cpd00001	100
TSB[-O2]	Tryptic soy broth anaerobic	o2	O2	o2	cpd00007	100
TSB[-O2]	Tryptic soy broth anaerobic	co2	CO2	co2	cpd00011	100
TSB[-O2]	Tryptic soy broth anaerobic	glc__D	D-Glucose	glc_D	cpd00027	13.88
TSB[-O2]	Tryptic soy broth anaerobic	sucr	Sucrose	sucr	cpd00076	0.4382120947
TSB[-O2]	Tryptic soy broth anaerobic	stys	Stachyose	stys	cpd01133	0.1800239432
TSB[-O2]	Tryptic soy broth anaerobic	raffin	Melitose	raffin	cpd00382	0.0594721254
TSB[-O2]	Tryptic soy broth anaerobic	starch	Starch	starch	cpd11657	0.1850246021
TSB[-O2]	Tryptic soy broth anaerobic	mannan	mannan	mannan	cpd11746	1.4801968168
TSB[-O2]	Tryptic soy broth anaerobic	pectin	Pectin	pectin	cpd11601	3.3996260411
TSB[-O2]	Tryptic soy broth anaerobic	ala__L	L-Alanine	ala_L	cpd00035	5.9870931538
TSB[-O2]	Tryptic soy broth anaerobic	arg__L	L-Arginine	arg_L	cpd00051	3.861021814
TSB[-O2]	Tryptic soy broth anaerobic	asp__L	L-Aspartate	asp_L	cpd00041	9.1987978963
TSB[-O2]	Tryptic soy broth anaerobic	cys__L	L-Cysteine	cys_L	cpd00084	0.5829207921
TSB[-O2]	Tryptic soy broth anaerobic	glu__L	L-Glutamate	glu_L	cpd00023	25.2972127804
TSB[-O2]	Tryptic soy broth anaerobic	gly	Glycine	gly	cpd00033	4.3728362184
TSB[-O2]	Tryptic soy broth anaerobic	his__L	L-Histidine	his_L	cpd00119	3.0599871134
TSB[-O2]	Tryptic soy broth anaerobic	ile__L	L-Isoleucine	ile_L	cpd00322	7.1884908537
TSB[-O2]	Tryptic soy broth anaerobic	leu__L	L-Leucine	leu_L	cpd00107	11.3816310976
TSB[-O2]	Tryptic soy broth anaerobic	lys__L	L-Lysine	lys_L	cpd00039	8.9273597811
TSB[-O2]	Tryptic soy broth anaerobic	met__L	L-Methionine	met_L	cpd00060	2.8445710456
TSB[-O2]	Tryptic soy broth anaerobic	phe__L	L-Phenylalanine	phe_L	cpd00066	5.0161016949
TSB[-O2]	Tryptic soy broth anaerobic	pro__L	L-Proline	pro_L	cpd00129	14.6513466551
TSB[-O2]	Tryptic soy broth anaerobic	ser__L	L-Serine	ser_L	cpd00054	8.7603235014
TSB[-O2]	Tryptic soy broth anaerobic	thr__L	L-Threonine	thr_L	cpd00161	6.0115869018
TSB[-O2]	Tryptic soy broth anaerobic	trp__L	L-Tryptophan	trp_L	cpd00065	1.0025954946
TSB[-O2]	Tryptic soy broth anaerobic	tyr__L	L-Tyrosine	tyr_L	cpd00069	4.6642935982
TSB[-O2]	Tryptic soy broth anaerobic	val__L	L-Valine	val_L	cpd00156	9.2303159693
TSB[-O2]	Tryptic soy broth anaerobic	ca2	Ca2+	ca2	cpd00063	0.2921802485
TSB[-O2]	Tryptic soy broth anaerobic	pi	Phosphate	pi	cpd00009	1.6543927961
TSB[-O2]	Tryptic soy broth anaerobic	na1	Na+	na1	cpd00971	0.76558354
TSB[-O2]	Tryptic soy broth anaerobic	k	K+	k	cpd00205	1.4223233925
TSB[-O2]	Tryptic soy broth anaerobic	mg2	Mg	mg2	cpd00254	0.3457624769
TSB[-O2]	Tryptic soy broth anaerobic	fe2	Fe2+	fe2	cpd10515	0.844607808
TSB[-O2]	Tryptic soy broth anaerobic	fe3	fe3	fe3	cpd10516	0.844607808
TSB[-O2]	Tryptic soy broth anaerobic	cu2	Cu2+	cu2	cpd00058	0.7872879489
TSB[-O2]	Tryptic soy broth anaerobic	zn2	Zn2+	zn2	cpd00034	0.232987152
TSB[-O2]	Tryptic soy broth anaerobic	mn2	Mn2+	mn2	cpd00030	0.13753868
TSB[-O2]	Tryptic soy broth anaerobic	fol	Folate	fol	cpd00393	0.2564114182
TSB[-O2]	Tryptic soy broth anaerobic	thm	Thiamine	thm	cpd00305	0.9881288864
TSB[-O2]	Tryptic soy broth anaerobic	ribflv	Riboflavin	ribflv	cpd00220	0.6934665356
TSB[-O2]	Tryptic soy broth anaerobic	nac	Niacin	nac	cpd00218	0.3955018869
TSB[-O2]	Tryptic soy broth anaerobic	pant__R	PAN	pant_R	cpd00644	0.1085112206
TSB[-O2]	Tryptic soy broth anaerobic	pydx	Pyridoxal	pydx	cpd00215	0.457631645
TSB[-O2]	Tryptic soy broth anaerobic	chol	Choline	chol	cpd00098	0.3337787557
TSB[-O2]	Tryptic soy broth anaerobic	ascb__L	L-Ascorbate	ascb_L	cpd00059	0.1022030434
TSB[-O2]	Tryptic soy broth anaerobic	gtocophe	Gamma-Tocopherol	gtocophe	cpd01631	0.6119804166
TSB[-O2]	Tryptic soy broth anaerobic	phllqne	Vitamin K1	phllqne	cpd01401	0.3128466829
TSB[-O2]	Tryptic soy broth anaerobic	cl	Cl-	cl	cpd00099	100
TSB[-O2]	Tryptic soy broth anaerobic	h	H+	h	cpd00067	100
TSB[-O2]	Tryptic soy broth anaerobic	cobalt2	Co2+	cobalt2	cpd00149	100
TSB[-O2]	Tryptic soy broth anaerobic	pheme	Heme	pheme	cpd00028	0.1
TSB[-O2]	Tryptic soy broth anaerobic	so4	Sulfate	so4	cpd00048	100
FT	Fermentation test medium	h2o	H2O	h2o	cpd00001	100
FT	Fermentation test medium	pi	Phosphate	pi	cpd00009	100
FT	Fermentation test medium	co2	CO2	co2	cpd00011	0.1
FT	Fermentation test medium	nh4	NH3	nh4	cpd00013	100
FT	Fermentation test medium	amp	AMP	amp	cpd00018	0.1
FT	Fermentation test medium	glu__L	L-Glutamate	glu_L	cpd00023	0.1
FT	Fermentation test medium	glc__D	D-Glucose	glc_D	cpd00027	3
FT	Fermentation test medium	pheme	Heme	pheme	cpd00028	0.1
FT	Fermentation test medium	ac	acetate	ac	cpd00029	3
FT	Fermentation test medium	mn2	Mn2+	mn2	cpd00030	100
FT	Fermentation test medium	gly	Glycine	gly	cpd00033	0.1
FT	Fermentation test medium	zn2	Zn2+	zn2	cpd00034	100
FT	Fermentation test medium	ala__L	L-Alanine	ala_L	cpd00035	0.5
FT	Fermentation test medium	lys__L	L-Lysine	lys_L	cpd00039	0.1
FT	Fermentation test medium	asp__L	L-Aspartate	asp_L	cpd00041	0.1
FT	Fermentation test medium	cmp	CMP	cmp	cpd00046	0.1
FT	Fermentation test medium	so4	Sulfate	so4	cpd00048	1
FT	Fermentation test medium	arg__L	L-Arginine	arg_L	cpd00051	0.1
FT	Fermentation test medium	ser__L	L-Serine	ser_L	cpd00054	0.1
FT	Fermentation test medium	cu2	Cu2+	cu2	cpd00058	100
FT	Fermentation test medium	met__L	L-Methionine	met_L	cpd00060	0.1
FT	Fermentation test medium	ca2	Ca2+	ca2	cpd00063	100
FT	Fermentation test medium	trp__L	L-Tryptophan	trp_L	cpd00065	0.1
FT	Fermentation test medium	phe__L	L-Phenylalanine	phe_L	cpd00066	0.1
FT	Fermentation test medium	h	H+	h	cpd00067	0.1
FT	Fermentation test medium	tyr__L	L-Tyrosine	tyr_L	cpd00069	0.1
FT	Fermentation test medium	cys__L	L-Cysteine	cys_L	cpd00084	0.1
FT	Fermentation test medium	ump	UMP	ump	cpd00091	0.1
FT	Fermentation test medium	ura	Uracil	ura	cpd00092	0.1
FT	Fermentation test medium	cl	Cl-	cl	cpd00099	100
FT	Fermentation test medium	leu__L	L-Leucine	leu_L	cpd00107	0.1
FT	Fermentation test medium	his__L	L-Histidine	his_L	cpd00119	0.1
FT	Fermentation test medium	gmp	GMP	gmp	cpd00126	0.1
FT	Fermentation test medium	pro__L	L-Proline	pro_L	cpd00129	0.1
FT	Fermentation test medium	ppa	propionate	ppa	cpd00141	0.1
FT	Fermentation test medium	cobalt2	Co2+	cobalt2	cpd00149	100
FT	Fermentation test medium	val__L	L-Valine	val_L	cpd00156	0.1
FT	Fermentation test medium	lac__L	L-lactate	lac_L	cpd00159	1.5
FT	Fermentation test medium	thr__L	L-Threonine	thr_L	cpd00161	0.1
FT	Fermentation test medium	adn	Adenosine	adn	cpd00182	0.1
FT	Fermentation test medium	thymd	Thymidine	thymd	cpd00184	0.1
FT	Fermentation test medium	k	K+	k	cpd00205	100
FT	Fermentation test medium	lcts	LACT	lcts	cpd00208	1.5
FT	Fermentation test medium	but	butyrate	but	cpd00211	0.1
FT	Fermentation test medium	pydx	Pyridoxal	pydx	cpd00215	0.1
FT	Fermentation test medium	nac	Niacin	nac	cpd00218	0.1
FT	Fermentation test medium	ribflv	Riboflavin	ribflv	cpd00220	0.1
FT	Fermentation test medium	lac__D	D-lactate	lac_D	cpd00221	1.5
FT	Fermentation test medium	hxan	HYXN	hxan	cpd00226	0.1
FT	Fermentation test medium	h2s	H2S	h2s	cpd00239	0.1
FT	Fermentation test medium	ins	Inosine	ins	cpd00246	0.1
FT	Fermentation test medium	uri	Uridine	uri	cpd00249	0.1
FT	Fermentation test medium	mg2	Mg	mg2	cpd00254	100
FT	Fermentation test medium	thm	Thiamine	thm	cpd00305	0.1
FT	Fermentation test medium	gsn	Guanosine	gsn	cpd00311	0.1
FT	Fermentation test medium	ile__L	L-Isoleucine	ile_L	cpd00322	0.1
FT	Fermentation test medium	etoh	ethanol	etoh	cpd00363	0.1
FT	Fermentation test medium	fol	Folate	fol	cpd00393	0.1
FT	Fermentation test medium	dad_2	Deoxyadenosine	dad_2	cpd00438	0.1
FT	Fermentation test medium	hg2	Hg2+	hg2	cpd00531	100
FT	Fermentation test medium	lipoate	Lipoate	lipoate	cpd00541	0.1
FT	Fermentation test medium	pant__R	PAN	pant_R	cpd00644	0.1
FT	Fermentation test medium	dcyt	Deoxycytidine	dcyt	cpd00654	0.1
FT	Fermentation test medium	na1	Na+	na1	cpd00971	100
FT	Fermentation test medium	cd2	Cd2+	cd2	cpd01012	100
FT	Fermentation test medium	aso4	Arsenate	aso4	cpd01048	100
FT	Fermentation test medium	cbl1	Vitamin B12	cbl1	cpd03424	0.1
FT	Fermentation test medium	fe2	Fe2+	fe2	cpd10515	100
FT	Fermentation test medium	fe3	fe3	fe3	cpd10516	100
FT	Fermentation test medium	cro4	chromate	cro4	cpd11595	100
FT	Fermentation test medium	mobd	Molybdate	mobd	cpd11574	0.01
FT	Fermentation test medium	sheme	Siroheme	sheme	cpd00557	0.01
AGORA_WD	Standard constraints for western diet in AGORA	12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	12dgr180	cpd15311	1
AGORA_WD	Standard constraints for western diet in AGORA	26dap__M	meso-2,6-Diaminoheptanedioate	26dap_M	cpd00516	1
AGORA_WD	Standard constraints for western diet in AGORA	2dmmq8	2-Demethylmenaquinone 8	2dmmq8	cpd15352	1
AGORA_WD	Standard constraints for western diet in AGORA	2obut	2-Oxobutanoate	2obut	cpd00094	1
AGORA_WD	Standard constraints for western diet in AGORA	3mop	3-methyl-2-oxopentanoate	3mop	cpd00508	1
AGORA_WD	Standard constraints for western diet in AGORA	4abz	4 Aminobenzoate	4abz	cpd00443	1
AGORA_WD	Standard constraints for western diet in AGORA	4hbz	4-Hydroxybenzoate	4hbz	cpd00136	1
AGORA_WD	Standard constraints for western diet in AGORA	ac	acetate	ac	cpd00029	1
AGORA_WD	Standard constraints for western diet in AGORA	acgam	N-Acetyl-D-glucosamine	acgam	cpd00122	1
AGORA_WD	Standard constraints for western diet in AGORA	acmana	N-acetyl-D-mannosamine	acmana	cpd00492	1
AGORA_WD	Standard constraints for western diet in AGORA	acnam	N-Acetylneuraminate	acnam	cpd00232	1
AGORA_WD	Standard constraints for western diet in AGORA	ade	Adenine	ade	cpd00128	1
AGORA_WD	Standard constraints for western diet in AGORA	adn	Adenosine	adn	cpd00182	1
AGORA_WD	Standard constraints for western diet in AGORA	adocbl	Adenosylcobalamin	adpcbl	cpd00166	1
AGORA_WD	Standard constraints for western diet in AGORA	ala__D	D-Alanine	ala_D	cpd00117	1
AGORA_WD	Standard constraints for western diet in AGORA	ala__L	L-Alanine	ala_L	cpd00035	1
AGORA_WD	Standard constraints for western diet in AGORA	amet	S-Adenosyl-L-methionine	amet	cpd00017	1
AGORA_WD	Standard constraints for western diet in AGORA	amp	AMP	amp	cpd00018	1
AGORA_WD	Standard constraints for western diet in AGORA		Amylopectin (900 glucose units)	amylopect900	cpd00265	1.56731E-05
AGORA_WD	Standard constraints for western diet in AGORA	amylose300	Amylose	amylose300	cpd11735	4.70194E-05
AGORA_WD	Standard constraints for western diet in AGORA	arab__D	D-Arabinose	arab_D	cpd00185	1
AGORA_WD	Standard constraints for western diet in AGORA	arab__L	L-Arabinose	arab_L	cpd19109	0.178783
AGORA_WD	Standard constraints for western diet in AGORA	arabinan	Arabinan	arabinan101	cpd15928	0.000166277
AGORA_WD	Standard constraints for western diet in AGORA		Larch arabinogalactan	arabinogal	cpd11699	2.19148E-05
AGORA_WD	Standard constraints for western diet in AGORA		Arabinoxylan	arabinoxyl	cpd22387	0.0003066486
AGORA_WD	Standard constraints for western diet in AGORA	arg__L	L-Arginine	arg_L	cpd00051	0.15
AGORA_WD	Standard constraints for western diet in AGORA	asn__L	L-asparagine	asn_L	cpd00132	0.225
AGORA_WD	Standard constraints for western diet in AGORA	asp__L	L-Aspartate	asp_L	cpd00041	0.225
AGORA_WD	Standard constraints for western diet in AGORA	bglc	beta glucans	bglc	cpd22448	7.05E-08
AGORA_WD	Standard constraints for western diet in AGORA	btn	Biotin	btn	cpd00104	1
AGORA_WD	Standard constraints for western diet in AGORA	ca2	Calcium	ca2	cpd00063	1
AGORA_WD	Standard constraints for western diet in AGORA	cbl1	Cob(I)alamin	cbl1	cpd00635	1
AGORA_WD	Standard constraints for western diet in AGORA	cellb	Cellobiose	cellb	cpd03845	0.074493
AGORA_WD	Standard constraints for western diet in AGORA	cell500	Cellulose	cellul		2.82117E-05
AGORA_WD	Standard constraints for western diet in AGORA	cgly	Cys-Gly	cgly	cpd01017	1
AGORA_WD	Standard constraints for western diet in AGORA	chol	Choline	chol	cpd00098	1
AGORA_WD	Standard constraints for western diet in AGORA	chor	Chorismate	chor	cpd00216	1
AGORA_WD	Standard constraints for western diet in AGORA	chsterol	cholesterol	chsterol	cpd00160	0.004958
AGORA_WD	Standard constraints for western diet in AGORA	cit	Citrate	cit	cpd00137	1
AGORA_WD	Standard constraints for western diet in AGORA	cl	Chloride	cl	cpd00099	1
AGORA_WD	Standard constraints for western diet in AGORA	cobalt2	Co2+	cobalt2	cpd00149	1
AGORA_WD	Standard constraints for western diet in AGORA	csn	Cytosine	csn	cpd00307	1
AGORA_WD	Standard constraints for western diet in AGORA	cu2	Cu2+	cu2	cpd00058	1
AGORA_WD	Standard constraints for western diet in AGORA	cys__L	L-cysteine	cys_L	cpd00084	1
AGORA_WD	Standard constraints for western diet in AGORA	cytd	Cytidine	cytd	cpd00367	1
AGORA_WD	Standard constraints for western diet in AGORA	dad_2	2-deoxyadenosine	dad_2	cpd00438	1
AGORA_WD	Standard constraints for western diet in AGORA	dcyt	Deoxycytidine	dcyt	cpd00654	1
AGORA_WD	Standard constraints for western diet in AGORA	ddca	laurate	ddca	cpd01741	1
AGORA_WD	Standard constraints for western diet in AGORA		Dextran 40, (1,6-alpha-D-Glucan)	dextran40	cpd11658	0.0001763229
AGORA_WD	Standard constraints for western diet in AGORA	dgsn	Deoxyguanosine	dgsn	cpd00277	1
AGORA_WD	Standard constraints for western diet in AGORA	drib	Deoxyribose	drib	cpd01242	0.178783
AGORA_WD	Standard constraints for western diet in AGORA	fald	formaldehyde	fald	cpd00055	1
AGORA_WD	Standard constraints for western diet in AGORA	fe2	Fe2+	fe2	cpd10515	1
AGORA_WD	Standard constraints for western diet in AGORA	fe3	Fe3+	fe3	cpd10516	1
AGORA_WD	Standard constraints for western diet in AGORA	fol	Folate	fol	cpd00393	1
AGORA_WD	Standard constraints for western diet in AGORA	for	Formate	for	cpd00047	1
AGORA_WD	Standard constraints for western diet in AGORA	fru	D-Fructose	fru	cpd00082	0.148986
AGORA_WD	Standard constraints for western diet in AGORA	fuc__L	L-Fucose	fuc_L	cpd00751	0.148986
AGORA_WD	Standard constraints for western diet in AGORA	fum	fumarate	fum	cpd00106	1
AGORA_WD	Standard constraints for western diet in AGORA	gal	D-Galactose	gal	cpd00108	0.148986
AGORA_WD	Standard constraints for western diet in AGORA		Galactomannan	galmannan	cpd00656	1.41058E-05
AGORA_WD	Standard constraints for western diet in AGORA	gam	D-Glucosamine	gam	cpd00276	1
AGORA_WD	Standard constraints for western diet in AGORA	glc__D	D-Glucose	glc_D	cpd00027	0.148986
AGORA_WD	Standard constraints for western diet in AGORA		Glucomannan	glcmannan	cpd11955	3.28807E-05
AGORA_WD	Standard constraints for western diet in AGORA	glcn	D-Gluconate	glcn	cpd00222	0.148986
AGORA_WD	Standard constraints for western diet in AGORA	gln__L	L-glutamine	gln_L	cpd00053	0.18
AGORA_WD	Standard constraints for western diet in AGORA	glu__L	L-Glutamate	glu_L	cpd00023	0.18
AGORA_WD	Standard constraints for western diet in AGORA	gly	Glycine	gly	cpd00033	0.45
AGORA_WD	Standard constraints for western diet in AGORA	glyc	Glycerol	glyc	cpd00100	1.799655
AGORA_WD	Standard constraints for western diet in AGORA	glyc3p	Ex glyc3p[e]	glyc3p	cpd00080	1
AGORA_WD	Standard constraints for western diet in AGORA	gsn	Guanosine	gsn	cpd00311	1
AGORA_WD	Standard constraints for western diet in AGORA	gthox	Oxidized glutathione	gthox	cpd00111	1
AGORA_WD	Standard constraints for western diet in AGORA	gthrd	Reduced glutathione	gthrd	cpd00042	1
AGORA_WD	Standard constraints for western diet in AGORA	gua	Guanine	gua	cpd00207	1
AGORA_WD	Standard constraints for western diet in AGORA	h	proton	h	cpd00067	1
AGORA_WD	Standard constraints for western diet in AGORA	h2	H2	h2	cpd11640	1
AGORA_WD	Standard constraints for western diet in AGORA	h2o	H2O	h2o	cpd00001	10
AGORA_WD	Standard constraints for western diet in AGORA	h2s	Hydrogen sulfide	h2s	cpd00239	1
AGORA_WD	Standard constraints for western diet in AGORA	hdca	Hexadecanoate (n-C16:0)	hdca	cpd00214	0.396371
AGORA_WD	Standard constraints for western diet in AGORA	his__L	L-histidine	his_L	cpd00119	0.15
AGORA_WD	Standard constraints for western diet in AGORA		Homogalacturonan	homogal		0.0001282349
AGORA_WD	Standard constraints for western diet in AGORA	hxan	Hypoxanthine	hxan	cpd00226	1
AGORA_WD	Standard constraints for western diet in AGORA	ile__L	L-Isoleucine	ile_L	cpd00322	0.15
AGORA_WD	Standard constraints for western diet in AGORA	indole	Indole	indole	cpd00359	1
AGORA_WD	Standard constraints for western diet in AGORA		Inulin	inulin	cpd11602	0.0004701945
AGORA_WD	Standard constraints for western diet in AGORA	k	K+	k	cpd00205	1
AGORA_WD	Standard constraints for western diet in AGORA		Kestopentaose	kestopt		0.0028211667
AGORA_WD	Standard constraints for western diet in AGORA	lanost	Lanosterol	lanost	cpd01188	1
AGORA_WD	Standard constraints for western diet in AGORA	lcts	Lactose	lcts	cpd00208	0.074493
AGORA_WD	Standard constraints for western diet in AGORA	leu__L	L-Leucine	leu_L	cpd00107	0.15
AGORA_WD	Standard constraints for western diet in AGORA		Levan	levan1000	cpd27401	1.41058E-05
AGORA_WD	Standard constraints for western diet in AGORA		Lichenin	lichn	cpd27402	8.29755E-05
AGORA_WD	Standard constraints for western diet in AGORA	lmn30	Laminarin	lmn30	cpd11748	0.0004701945
AGORA_WD	Standard constraints for western diet in AGORA	lys__L	L-Lysine	lys_L	cpd00039	0.15
AGORA_WD	Standard constraints for western diet in AGORA	malt	Maltose	malt	cpd00179	0.074493
AGORA_WD	Standard constraints for western diet in AGORA	man	D-Mannose	man	cpd00138	0.148986
AGORA_WD	Standard constraints for western diet in AGORA	melib	Melibiose	melib	cpd03198	0.074493
AGORA_WD	Standard constraints for western diet in AGORA	meoh	methanol	meoh	cpd00116	10
AGORA_WD	Standard constraints for western diet in AGORA	met__L	L-Methionine	met_L	cpd00060	0.18
AGORA_WD	Standard constraints for western diet in AGORA	metsox_S__L	L-Methionine S-oxide	metsox_S_L	cpd01914	1
AGORA_WD	Standard constraints for western diet in AGORA	mg2	Mg	mg2	cpd00254	1
AGORA_WD	Standard constraints for western diet in AGORA	mn2	Mn2+	mn2	cpd00030	1
AGORA_WD	Standard constraints for western diet in AGORA	mnl	D-Mannitol	mnl	cpd00314	0.148986
AGORA_WD	Standard constraints for western diet in AGORA	mobd	Molybdate	mobd	cpd11574	1
AGORA_WD	Standard constraints for western diet in AGORA	mqn7	Menaquinone 7	mqn7	cpd11606	1
AGORA_WD	Standard constraints for western diet in AGORA	mqn8	Menaquinone 8	mqn8	cpd15500	1
AGORA_WD	Standard constraints for western diet in AGORA	na1	Sodium	na1	cpd00971	1
AGORA_WD	Standard constraints for western diet in AGORA	nac	Nicotinate	nac	cpd00218	1
AGORA_WD	Standard constraints for western diet in AGORA	ncam	Nicotinamide	ncam	cpd00133	1
AGORA_WD	Standard constraints for western diet in AGORA	nmn	NMN	nmn	cpd00355	1
AGORA_WD	Standard constraints for western diet in AGORA	no2	Nitrite	no2	cpd00075	1
AGORA_WD	Standard constraints for western diet in AGORA	ocdca	echange reaction for octadecanoate (n-C18:0)	ocdca	cpd01080	0.169283
AGORA_WD	Standard constraints for western diet in AGORA	ocdcea	octadecenoate (n-C18:1)	ocdcea	cpd00536	0.681445
AGORA_WD	Standard constraints for western diet in AGORA	orn	Ornithine	orn	cpd00064	1
AGORA_WD	Standard constraints for western diet in AGORA	oxa	Oxalate	oxa	cpd00180	0.446957
AGORA_WD	Standard constraints for western diet in AGORA	pect	pectins	pect	cpd11601	3.33866E-05
AGORA_WD	Standard constraints for western diet in AGORA	phe__L	L-phenylalanine	phe_L	cpd00066	1
AGORA_WD	Standard constraints for western diet in AGORA	pheme	heme	pheme	cpd00028	1
AGORA_WD	Standard constraints for western diet in AGORA	pi	Phosphate	pi	cpd00009	1
AGORA_WD	Standard constraints for western diet in AGORA	pime	Pimelate	pime	cpd01727	1
AGORA_WD	Standard constraints for western diet in AGORA	pnto__R	(R)-Pantothenate	pnto_R	cpd00644	1
AGORA_WD	Standard constraints for western diet in AGORA	pro__L	L-Proline	pro_L	cpd00129	0.18
AGORA_WD	Standard constraints for western diet in AGORA	ptrc	1,4-butanediammonium	ptrc	cpd00118	1
AGORA_WD	Standard constraints for western diet in AGORA	pullulan1200	Pullulan	pullulan1200	cpd27994	1.17549E-05
AGORA_WD	Standard constraints for western diet in AGORA	pydam	Pyridoxamine	pydam	cpd00419	1
AGORA_WD	Standard constraints for western diet in AGORA	pydx	Pyridoxal	pydx	cpd00215	1
AGORA_WD	Standard constraints for western diet in AGORA	pydxn	Pyridoxine	pydxn	cpd00263	1
AGORA_WD	Standard constraints for western diet in AGORA	q8	Ubiquinone-8	q8	cpd15560	1
AGORA_WD	Standard constraints for western diet in AGORA	raffin	Raffinose	raffin	cpd00382	0.0047019445
AGORA_WD	Standard constraints for western diet in AGORA		Rhamnogalacturonan I	rhamnogalurI		1.44923E-05
AGORA_WD	Standard constraints for western diet in AGORA		Rhamnogalacturonan II	rhamnogalurII		0.0002669874
AGORA_WD	Standard constraints for western diet in AGORA	rib__D	ribose	rib_D	cpd00105	0.178783
AGORA_WD	Standard constraints for western diet in AGORA	ribflv	Riboflavin	ribflv	cpd00220	1
