locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
199291	SO0094	1	139	102352	102489	+		hypothetical protein (NCBI ptt file)	0.4203	7	TRUE
199292	SO0095	1	139	102534	103760	-	hutI	imidazolonepropionase (NCBI ptt file)	0.5077	49	TRUE
199293	SO0096	1	139	103967	104674	+	hutC	histidine utilization repressor (NCBI ptt file)	0.5395	22	TRUE
199294	SO0097	1	139	104801	106471	+	hutU	urocanate hydratase (NCBI ptt file)	0.541	56	TRUE
199295	SO0098	1	139	106536	108077	+	hutH	histidine ammonia-lyase (NCBI ptt file)	0.5279	61	TRUE
199298	SO0101	1	139	108703	111717	+	fdnG	selenium-containing formate dehydrogenase, nitrate inducible, alpha subunit (NCBI ptt file)	0.4949	136	TRUE
199299	SO0102	1	139	111720	112634	+	fdnH	formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (NCBI ptt file)	0.5279	27	TRUE
199300	SO0103	1	139	112631	113272	+	fdnI	formate dehydrogenase, nitrate-inducible, cytochrome b556 subunit (NCBI ptt file)	0.4891	18	TRUE
199301	SO0104	1	139	113272	114180	+	fdhE	fdhE protein (NCBI ptt file)	0.5446	24	TRUE
199302	SO0105	1	139	114238	115659	+	selA	L-seryl-tRNA selenium transferase (NCBI ptt file)	0.5408	63	TRUE
199303	SO0106	1	139	115656	117677	+	selB	selenocysteine-specific translation elongation factor (NCBI ptt file)	0.5401	70	TRUE
401194	SO_t002	5	139	117553	117643	-	tRNA-SeC(p)-1	tRNA-Sec (RefSeq)	0.5824	3	FALSE
199304	SO0107	1	139	117785	118621	+	fdhD	formate dehydrogenase accessory protein FdhD (NCBI ptt file)	0.5042	25	TRUE
199305	SO0108	1	139	118747	119961	+		hypothetical transporter component (NCBI ptt file)	0.5128	48	TRUE
199306	SO0109	1	139	119961	120194	+		conserved hypothetical protein (NCBI ptt file)	0.4615	8	TRUE
199307	SO0110	1	139	120287	121630	-		hypothetical protease (NCBI ptt file)	0.4963	75	TRUE
199308	SO0111	1	139	121746	122360	-		hypothetical protein (NCBI ptt file)	0.4585	23	TRUE
199309	SO0112	1	139	122642	123265	+		conserved hypothetical protein (NCBI ptt file)	0.4744	24	TRUE
199310	SO0113	1	139	123266	124222	-		conserved hypothetical protein (NCBI ptt file)	0.4274	47	TRUE
199311	SO0114	1	139	124394	125005	-		conserved hypothetical protein (NCBI ptt file)	0.4984	23	TRUE
199312	SO0115	1	139	125325	126302	+		hypothetical protein (NCBI ptt file)	0.4734	44	FALSE
199313	SO0116	1	139	126481	127458	+		hypothetical protein (NCBI ptt file)	0.4673	45	TRUE
199315	SO0118	1	139	128107	128979	+		hypothetical protein (NCBI ptt file)	0.4536	24	TRUE
199316	SO0119	1	139	129240	129632	+		conserved hypothetical protein (NCBI ptt file)	0.4402	22	TRUE
199317	SO0120	1	139	129650	130228	-		hypothetical protein (NCBI ptt file)	0.456	33	TRUE
199318	SO0121	1	139	130527	131705	+		hypothetical Small-conductance mechanosensitive channel (NCBI ptt file)	0.497	57	TRUE
199319	SO0122	1	139	131702	132325	-		transporter, LysE family (NCBI ptt file)	0.4696	27	TRUE
199320	SO0123	1	139	132352	132912	-		acyltransferase family protein (NCBI ptt file)	0.4902	31	TRUE
199322	SO0125	1	139	133124	133489	+		conserved hypothetical protein (NCBI ptt file)	0.4563	16	TRUE
199323	SO0126	1	139	133511	134311	-		conserved hypothetical protein (NCBI ptt file)	0.4994	31	TRUE
199324	SO0127	1	139	134374	135888	-		hypothetical protein (NCBI ptt file)	0.4917	73	TRUE
199325	SO0128	1	139	135995	136195	-		hypothetical protein (NCBI ptt file)	0.3682	13	FALSE
199326	SO0129	1	139	136310	136903	+		conserved hypothetical protein TIGR00427 (NCBI ptt file)	0.4562	35	TRUE
199327	SO0130	1	139	137207	140014	+		protease, putative (NCBI ptt file)	0.4847	153	TRUE
199328	SO0131	1	139	140071	140640	-		hypothetical chorismate pyruvate lyase (NCBI ptt file)	0.5	19	TRUE
199329	SO0132	1	139	140742	141152	+		flagellar protein FliL, putative (NCBI ptt file)	0.4647	16	TRUE
199331	SO_0134	1	139	141383	142309	+		putative SAM-dependent methyltransferase (RefSeq)	0.4973	35	TRUE
199332	SO0135	1	139	142352	142642	-		hemolysin protein, putative (NCBI ptt file)	0.5155	5	TRUE
199333	SO0136	1	139	142669	143331	-		hypothetical protein (NCBI ptt file)	0.46	39	TRUE
199334	SO0137	1	139	143381	144142	-	moeB	molybdopterin biosynthesis MoeB protein (NCBI ptt file)	0.4698	33	TRUE
199335	SO0138	1	139	144154	145407	-	moeA	molybdopterin biosynthesis MoeA protein (NCBI ptt file)	0.5128	50	TRUE
199336	SO0139	1	139	145712	146248	+	ftn	ferritin (NCBI ptt file)	0.4358	23	TRUE
199337	SO0140	1	139	146434	146529	+		hypothetical protein (NCBI ptt file)	0.4792	3	FALSE
199338	SO0141	1	139	146606	149839	-		sensory box protein (NCBI ptt file)	0.4623	157	TRUE
199339	SO0142	1	139	150203	150856	-	ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase (NCBI ptt file)	0.5199	24	TRUE
199341	SO0144	1	139	151552	153654	+	ptrB	protease II (NCBI ptt file)	0.495	92	TRUE
199342	SO0145	1	139	153677	154045	+		hypothetical URI domain endonuclease (NCBI ptt file)	0.5149	12	TRUE
199343	SO0146	1	139	154156	155370	-		ISSod3, transposase (NCBI ptt file)	0.4691	61	FALSE
199344	SO0147	1	139	155715	156200	+		hypothetical protein (NCBI ptt file)	0.463	23	TRUE
199345	SO0148	1	139	156320	157000	+		hypothetical protein (NCBI ptt file)	0.3407	56	TRUE
199347	SO0150	1	139	158400	159176	-		lipoprotein, putative (NCBI ptt file)	0.4698	33	TRUE
199348	SO0151	1	139	159448	160215	+		hypothetical SAM-dependent methyltransferase (NCBI ptt file)	0.4831	35	TRUE
199349	SO0152	1	139	160241	162124	-		hypothetical carboxypeptidase (NCBI ptt file)	0.517	80	TRUE
199351	SO0154	1	139	162366	163490	-		conserved hypothetical protein (NCBI ptt file)	0.4987	47	TRUE
199354	SO0157	1	139	164022	165260	-		proton/glutamate symporter (NCBI ptt file)	0.4835	58	TRUE
199356	SO0159	1	139	165737	166093	+		hypothetical protein (NCBI ptt file)	0.4314	17	TRUE
199357	SO0160	1	139	166258	167817	-		transporter, putative (NCBI ptt file)	0.4769	82	TRUE
199359	SO0162	1	139	168071	169612	-	pckA	phosphoenolpyruvate carboxykinase (ATP) (NCBI ptt file)	0.5091	55	TRUE
199360	SO0163	1	139	169814	170674	-	hslO	chaperonin HslO (NCBI ptt file)	0.475	42	TRUE
199361	SO0164	1	139	170700	171098	-	hslR	heat shock protein 15 (NCBI ptt file)	0.4561	23	TRUE
199362	SO0165	1	139	171350	172276	+	gspC	general secretion pathway protein C (NCBI ptt file)	0.4531	40	TRUE
199363	SO0166	1	139	172301	174415	+	gspD	general secretion pathway protein D (NCBI ptt file)	0.4761	97	TRUE
199364	SO0167	1	139	174412	175977	+	gspE	general secretion pathway protein E (NCBI ptt file)	0.5019	68	TRUE
199365	SO0168	1	139	175981	177204	+	gspF	general secretion pathway protein F (NCBI ptt file)	0.5065	49	TRUE
199366	SO0169	1	139	177279	177713	+	gspG	general secretion pathway protein G (NCBI ptt file)	0.4368	29	TRUE
199367	SO0170	1	139	177715	178287	+	gspH	general secretion pathway protein H (NCBI ptt file)	0.4729	19	TRUE
199368	SO0171	1	139	178274	178642	+	gspI	general secretion pathway protein I (NCBI ptt file)	0.4743	13	TRUE
199369	SO0172	1	139	178623	179390	+	gspJ	general secretion pathway protein J (NCBI ptt file)	0.4831	34	TRUE
199370	SO0173	1	139	179387	180385	+	gspK	general secretion pathway protein K (NCBI ptt file)	0.4715	38	TRUE
199371	SO0174	1	139	180434	181621	+	gspL	general secretion pathway protein L (NCBI ptt file)	0.5017	46	TRUE
199372	SO0175	1	139	181623	182099	+	gspM	general secretion pathway protein M (NCBI ptt file)	0.5073	17	TRUE
199373	SO0176	1	139	182114	182875	+	gspN	general secretion pathway protein N (NCBI ptt file)	0.4869	29	TRUE
199374	SO0177	1	139	182935	183597	-		HAD-superfamily hydrolase, subfamily IA, variant 3 protein family (NCBI ptt file)	0.457	24	TRUE
199376	SO0179	1	139	183749	184327	+		conserved hypothetical protein (NCBI ptt file)	0.4646	22	TRUE
199377	SO0180	1	139	184305	186314	+		hypothetical protein (NCBI ptt file)	0.4791	88	TRUE
199378	SO0181	1	139	186395	187441	+		hypothetical protein (NCBI ptt file)	0.4403	52	TRUE
199379	SO0182	1	139	187553	187840	+		hypothetical protein (NCBI ptt file)	0.3715	17	TRUE
199380	SO0183	1	139	187837	188319	-		acetyltransferase, GNAT family (NCBI ptt file)	0.412	24	TRUE
199381	SO0184	1	139	188405	188956	+		hypothetical microcystin dependent protein (NCBI ptt file)	0.4855	24	TRUE
199382	SO0185	1	139	188996	189526	+		hypothetical microcystin dependent protein (NCBI ptt file)	0.4953	18	TRUE
199383	SO0186	1	139	189555	190100	+		hypothetical microcystin dependent protein (NCBI ptt file)	0.467	22	TRUE
199384	SO0187	1	139	190156	191379	+		serine protease, subtilase family (NCBI ptt file)	0.4281	56	TRUE
199385	SO0188	1	139	191382	192473	+		hypothetical protein (NCBI ptt file)	0.4606	40	TRUE
199386	SO0189	1	139	192488	200056	+		fibronectin type III domain protein (NCBI ptt file)	0.5122	348	TRUE
199387	SO0190	1	139	200294	200845	+		MutT/nudix family protein (NCBI ptt file)	0.4529	22	TRUE
199388	SO0191	1	139	200915	201727	+	cysQ-1	cysQ protein (NCBI ptt file)	0.4932	36	TRUE
199389	SO0192	1	139	201735	202178	+		acetyltransferase, GNAT family (NCBI ptt file)	0.4775	17	TRUE
199390	SO0193	1	139	202414	203025	+		transcriptional regulator, TetR family (NCBI ptt file)	0.4395	39	TRUE
199391	SO0194	1	139	203016	204878	+		acyltransferase family protein (NCBI ptt file)	0.475	72	TRUE
199392	SO0195	1	139	204956	206086	-	ybbB	ybbB protein (NCBI ptt file)	0.4607	54	TRUE
199393	SO0196	1	139	206086	207144	-	selD	selenide, water dikinase (NCBI ptt file)	0.5061	43	TRUE
199394	SO0197	1	139	207241	208347	-		fatty acid desaturase, family 1 (NCBI ptt file)	0.4553	62	TRUE
199395	SO0198	1	139	208491	209105	+		transcriptional regulator, TetR family (NCBI ptt file)	0.5041	23	TRUE
370236	SO0198.1	1	139	209388	209519	+		putative transposase (NCBI ptt file)	0.5152	5	TRUE
10942653	SO_0201	99	139	209586	210287	+			0.5185	25	TRUE
199398	SO0202	1	139	210808	211326	+		conserved hypothetical protein (NCBI ptt file)	0.4663	25	TRUE
199399	SO0203	1	139	211373	212089	+		hypothetical protein (NCBI ptt file)	0.4742	26	TRUE
199400	SO0204	1	139	212225	212884	+		hypothetical protein (NCBI ptt file)	0.4455	31	TRUE
199401	SO0205	1	139	213168	213560	+		hypothetical protein (NCBI ptt file)	0.4758	24	TRUE
199402	SO0206	1	139	213570	214670	-	trmA	tRNA (uracil-5-)-methyltransferase (NCBI ptt file)	0.4432	51	TRUE
370220	SO0207	1	139	214726	215634	+	murI	glutamate racemase (NCBI ptt file)	0.4631	52	FALSE
199404	SO0208	1	139	215641	216105	-		RNA-binding protein (NCBI ptt file)	0.4065	23	TRUE
2200918	SO_r004	3	139	216788	218316	+	Sp16SB	16S ribosomal RNA (RefSeq)	0.5481	62	FALSE
401095	SO_t003	5	139	218392	218468	+	tRNA-Ile-1	tRNA-Ile (RefSeq)	0.5844	2	FALSE
401096	SO_t004	5	139	218607	218682	+	tRNA-Ala-1	tRNA-Ala (RefSeq)	0.6447	1	FALSE
407355	SO_r005	2	139	218957	221849	+	Sp23SB	23S ribosomal RNA (RefSeq)	0.5154	141	FALSE
2200919	SO_r006	4	139	222053	222172	+	Sp5SB	5S ribosomal RNA (RefSeq)	0.5583	3	FALSE
370258	SO0208.1	1	139	222590	222898	-		putative transposase (NCBI ptt file)	0.5146	11	TRUE
199406	SO0211	1	139	222921	223361	-		ISSod10, transposase OrfA (NCBI ptt file)	0.4853	19	TRUE
199408	SO0213	1	139	223639	224664	+	murB	UDP-N-acetylenolpyruvoylglucosamine reductase (NCBI ptt file)	0.4464	55	FALSE
199409	SO0214	1	139	224657	225616	+	birA	birA bifunctional protein (NCBI ptt file)	0.4427	52	FALSE
199410	SO0215	1	139	225619	226569	-	panK	pantothenate kinase (NCBI ptt file)	0.4406	53	FALSE
199411	SO0216	1	139	226682	226813	+		hypothetical protein (NCBI ptt file)	0.3788	7	TRUE
401097	SO_t005	5	139	226804	226879	+	tRNA-Thr-2	tRNA-Thr (RefSeq)	0.5526	3	FALSE
401098	SO_t006	5	139	226887	226971	+	tRNA-Tyr-1	tRNA-Tyr (RefSeq)	0.5765	1	FALSE
401099	SO_t007	5	139	227006	227079	+	tRNA-Gly-6	tRNA-Gly (RefSeq)	0.5676	5	FALSE
401100	SO_t008	5	139	227089	227164	+	tRNA-Thr-1	tRNA-Thr (RefSeq)	0.5395	3	TRUE
199412	SO0217	1	139	227280	228464	+	tufB	translation elongation factor Tu (NCBI ptt file)	0.4785	61	TRUE
199413	SO0218	1	139	228741	229112	+	secE	preprotein translocase, SecE subunit (NCBI ptt file)	0.4462	21	FALSE
199414	SO0219	1	139	229122	229673	+	nusG	transcription antitermination protein NusG (NCBI ptt file)	0.4475	24	FALSE
199415	SO0220	1	139	229801	230229	+	rplK	ribosomal protein L11 (NCBI ptt file)	0.4452	14	FALSE
199416	SO0221	1	139	230234	230935	+	rplA	ribosomal protein L1 (NCBI ptt file)	0.443	30	FALSE
199417	SO0222	1	139	231201	231701	+	rplJ	ribosomal protein L10 (NCBI ptt file)	0.479	21	FALSE
199418	SO0223	1	139	231756	232124	+	rplL	ribosomal protein L7/L12 (NCBI ptt file)	0.4417	10	FALSE
199419	SO0224	1	139	232367	236404	+	rpoB	DNA-directed RNA polymerase, beta subunit (NCBI ptt file)	0.4745	167	FALSE
199420	SO0225	1	139	236488	240705	+	rpoC	DNA-directed RNA polymerase, beta' subunit (NCBI ptt file)	0.4886	152	FALSE
199421	SO0226	1	139	240885	241259	+	rpsL	ribosomal protein S12 (NCBI ptt file)	0.4987	17	FALSE
199422	SO0227	1	139	241340	241810	+	rpsG	ribosomal protein S7 (NCBI ptt file)	0.4692	19	FALSE
199423	SO0228	1	139	241889	243985	+	fusA-1	translation elongation factor G (NCBI ptt file)	0.4726	71	FALSE
199424	SO0229	1	139	244057	245241	+	tufA	translation elongation factor Tu (NCBI ptt file)	0.4793	63	TRUE
199425	SO0230	1	139	245573	245884	+	rpsJ	ribosomal protein S10 (NCBI ptt file)	0.4647	19	FALSE
199426	SO0231	1	139	245912	246550	+	rplC	ribosomal protein L3 (NCBI ptt file)	0.4695	33	FALSE
199427	SO0232	1	139	246568	247173	+	rplD	ribosomal protein L4 (NCBI ptt file)	0.4901	22	FALSE
199428	SO0233	1	139	247170	247475	+	rplW	ribosomal protein L23 (NCBI ptt file)	0.451	14	FALSE
199429	SO0234	1	139	247492	248316	+	rplB	ribosomal protein L2 (NCBI ptt file)	0.4982	31	FALSE
199430	SO0235	1	139	248331	248609	+	rpsS	ribosomal protein S19 (NCBI ptt file)	0.4695	8	FALSE
199431	SO0236	1	139	248625	248957	+	rplV	ribosomal protein L22 (NCBI ptt file)	0.4955	13	FALSE
199432	SO0237	1	139	248967	249659	+	rpsC	ribosomal protein S3 (NCBI ptt file)	0.4776	31	FALSE
199433	SO0238	1	139	249671	250081	+	rplP	ribosomal protein L16 (NCBI ptt file)	0.4623	18	FALSE
199434	SO0239	1	139	250081	250272	+	rpmC	ribosomal protein L29 (NCBI ptt file)	0.4688	8	FALSE
199435	SO0240	1	139	250272	250520	+	rpsQ	ribosomal protein S17 (NCBI ptt file)	0.4217	14	FALSE
199436	SO0241	1	139	250698	251066	+	rplN	ribosomal protein L14 (NCBI ptt file)	0.4715	15	FALSE
199437	SO0242	1	139	251078	251392	+	rplX	ribosomal protein L24 (NCBI ptt file)	0.4254	12	FALSE
199438	SO0243	1	139	251405	251944	+	rplE	ribosomal protein L5 (NCBI ptt file)	0.4519	25	FALSE
199439	SO0244	1	139	251955	252260	+	rpsN	ribosomal protein S14 (NCBI ptt file)	0.4804	12	FALSE
199440	SO0245	1	139	252285	252677	+	rpsH	ribosomal protein S8 (NCBI ptt file)	0.4733	19	FALSE
199441	SO0246	1	139	252688	253221	+	rplF	ribosomal protein L6 (NCBI ptt file)	0.485	21	FALSE
199442	SO0247	1	139	253232	253582	+	rplR	ribosomal protein L18 (NCBI ptt file)	0.5043	15	FALSE
199443	SO0248	1	139	253595	254098	+	rpsE	ribosomal protein S5 (NCBI ptt file)	0.4722	30	FALSE
199444	SO0249	1	139	254105	254287	+	rpmD	ribosomal protein L30 (NCBI ptt file)	0.4262	11	FALSE
