locus,start,end
MG443,548851,547664
MG444,549226,548867
MG445,549905,549210
MG446,550192,549905
MG447,552446,550803
MG448,552899,552447
MG449,553548,552863
MG450,554430,553558
MG451,555614,554430
MG452,555667,556452
MG453,556437,557315
MG454,557772,557305
MG455,557759,558949
MG456,559943,558939
MG457,562604,560496
MG458,563309,562782
MG459,563820,563311
MG460,563993,564931
MG461,566205,564928
MG462,567640,566186
MG463,568406,567627
MG464,569556,568399
MG465,569914,569528
MG466,570029,569883
MG467,570990,570055
MG468,576345,570994
MG468.1,577205,576351
MG469,578581,577268
MG470,580033,579224
