locus,start,end,genomic.element,scaffold
SO0399,413387,414118,NC_004347.2,139
SO0400,414182,414466,NC_004347.2,139
SO0401,414463,415476,NC_004347.2,139
SO0402,415596,416525,NC_004347.2,139
SO0403,417311,418180,NC_004347.2,139
SO0404,418203,421661,NC_004347.2,139
SO0405,421774,423039,NC_004347.2,139
SO0406,423252,423578,NC_004347.2,139
SO0407,423730,425049,NC_004347.2,139
SO0408,425050,425970,NC_004347.2,139
SO0409,426070,426606,NC_004347.2,139
SO0410,426745,427137,NC_004347.2,139
SO0411,427225,427434,NC_004347.2,139
SO0412,427495,428229,NC_004347.2,139
SO0413,428222,428839,NC_004347.2,139
SO0414,428993,429919,NC_004347.2,139
SO0415,430085,431356,NC_004347.2,139
SO0416,431608,433317,NC_004347.2,139
SO0417,433391,433807,NC_004347.2,139
SO0418,433914,434012,NC_004347.2,139
SO0420,435423,435515,NC_004347.2,139
SO0420.2,434956,435168,NC_004347.2,139
SO0421,435462,436007,NC_004347.2,139
SO0422,436277,437128,NC_004347.2,139
SO0423,437566,438318,NC_004347.2,139
SO0424,438400,441066,NC_004347.2,139
SO0425,441079,443112,NC_004347.2,139
SO0426,443262,444689,NC_004347.2,139
SO0427,444828,449303,NC_004347.2,139
SO0428,449534,451744,NC_004347.2,139
SO0429,451966,454008,NC_004347.2,139
SO0430,454326,454652,NC_004347.2,139
SO0431,454705,455358,NC_004347.2,139
SO0432,455780,458377,NC_004347.2,139
SO0433,458543,459028,NC_004347.2,139
SO0435,459487,460551,NC_004347.2,139
SO0437,461211,463781,NC_004347.2,139
SO0438,463857,464660,NC_004347.2,139
SO0439,464657,464932,NC_004347.2,139
SO0440,465030,468251,NC_004347.2,139
SO0441,468430,469728,NC_004347.2,139
SO0442,469791,471422,NC_004347.2,139
SO0443,471758,472249,NC_004347.2,139
SO0444,472249,473724,NC_004347.2,139
SO0445,473830,474720,NC_004347.2,139
SO0447,475053,475307,NC_004347.2,139
SO0448,475311,475601,NC_004347.2,139
SO0449,475608,477227,NC_004347.2,139
SO0450,477300,478463,NC_004347.2,139
SO0451,478775,478927,NC_004347.2,139
SO0452,478910,479332,NC_004347.2,139
SO0453,479507,479842,NC_004347.2,139
SO0454,479839,480261,NC_004347.2,139
SO0455,480304,482337,NC_004347.2,139
SO0456,482440,483396,NC_004347.2,139
SO0458,483919,484041,NC_004347.2,139
SO0459,484359,485840,NC_004347.2,139
SO0461,486182,486544,NC_004347.2,139
SO0462,486557,486982,NC_004347.2,139
SO0463,487030,487908,NC_004347.2,139
SO0464,487943,488350,NC_004347.2,139
SO0466,489412,489942,NC_004347.2,139
SO0466.1,490539,490811,NC_004347.2,139
SO0467,490777,492945,NC_004347.2,139
SO0468,493080,493940,NC_004347.2,139
SO0468.1,494036,494413,NC_004347.2,139
SO0470,494724,495140,NC_004347.2,139
SO0471,495533,496612,NC_004347.2,139
SO0472,496714,497835,NC_004347.2,139
SO0472.1,497932,498126,NC_004347.2,139
SO0474,498200,498778,NC_004347.2,139
SO0476,499024,499608,NC_004347.2,139
SO0477,499625,500074,NC_004347.2,139
SO0478,500071,502128,NC_004347.2,139
SO0479,502638,504767,NC_004347.2,139
SO0480,504866,505306,NC_004347.2,139
SO0481,505400,506179,NC_004347.2,139
SO0482,506273,506947,NC_004347.2,139
SO0483,507034,507741,NC_004347.2,139
SO0484,507756,508691,NC_004347.2,139
SO0485,508811,509302,NC_004347.2,139
SO0486,509313,510587,NC_004347.2,139
SO0487,510632,511630,NC_004347.2,139
SO0488,511684,512523,NC_004347.2,139
SO0490,512737,514020,NC_004347.2,139
SO0491,514492,516627,NC_004347.2,139
SO0492,516765,517394,NC_004347.2,139
SO0493,517468,517599,NC_004347.2,139
SO0493.1,517895,518122,NC_004347.2,139
SO0494,518780,519070,NC_004347.2,139
SO0495,519130,519939,NC_004347.2,139
SO0496,520371,521294,NC_004347.2,139
SO0497,521627,523588,NC_004347.2,139
SO0499,524074,524634,NC_004347.2,139
SO0500,525133,526764,NC_004347.2,139
SO0501,528063,528719,NC_004347.2,139
SO0502,528995,529330,NC_004347.2,139
SO0503,529531,530607,NC_004347.2,139
SO0503.1,529980,530195,NC_004347.2,139
SO0504,530850,531548,NC_004347.2,139
SO0505,531716,532459,NC_004347.2,139
SO0506,532473,533939,NC_004347.2,139
SO0508,534068,534856,NC_004347.2,139
SO0508.1,535159,535374,NC_004347.2,139
SO0510,535321,535998,NC_004347.2,139
SO0511,536017,536475,NC_004347.2,139
SO0512,536513,536953,NC_004347.2,139
SO0513,537055,537468,NC_004347.2,139
SO0514,537566,537973,NC_004347.2,139
SO0515,538008,538211,NC_004347.2,139
SO0516,538331,538813,NC_004347.2,139
SO0518,539029,540387,NC_004347.2,139
SO0519,540393,541694,NC_004347.2,139
SO0520,541742,544969,NC_004347.2,139
SO0521,545137,545460,NC_004347.2,139
SO0522,545546,545956,NC_004347.2,139
SO0523,546161,547093,NC_004347.2,139
SO0524,547338,548243,NC_004347.2,139
SO0525,548245,549864,NC_004347.2,139
SO0526,550003,550476,NC_004347.2,139
SO0527,550520,550846,NC_004347.2,139
SO0528,550873,551760,NC_004347.2,139
SO0529,551820,552704,NC_004347.2,139
SO0530,552804,553415,NC_004347.2,139
SO0532,553907,554251,NC_004347.2,139
SO0533,554287,554802,NC_004347.2,139
SO0534,554812,555831,NC_004347.2,139
SO0535,555873,556868,NC_004347.2,139
SO0536,556878,557114,NC_004347.2,139
SO0538,557305,558318,NC_004347.2,139
SO0539,558328,559590,NC_004347.2,139
SO0540,559697,560500,NC_004347.2,139
SO0541,560624,562060,NC_004347.2,139
SO0542,562104,563459,NC_004347.2,139
SO0543,563976,564152,NC_004347.2,139
SO0544,564464,566617,NC_004347.2,139
SO0544.1,566614,567048,NC_004347.2,139
SO0545,567052,568779,NC_004347.2,139
SO0546,568931,569836,NC_004347.2,139
SO0547,569883,570575,NC_004347.2,139
SO0548,570869,571141,NC_004347.2,139
SO0549,571288,572091,NC_004347.2,139
SO0550,572159,572578,NC_004347.2,139
SO0551,572668,573177,NC_004347.2,139
SO0552,573184,573498,NC_004347.2,139
SO0553,573650,574006,NC_004347.2,139
SO0554,574227,574751,NC_004347.2,139
SO0555,574760,576514,NC_004347.2,139
SO0556,576654,576962,NC_004347.2,139
SO0557,577011,577907,NC_004347.2,139
SO0558,578052,578834,NC_004347.2,139
SO0559,579229,580059,NC_004347.2,139
SO0560,580495,582207,NC_004347.2,139
SO0560.2,582643,583932,NC_004347.2,139
SO0562,584154,584483,NC_004347.2,139
SO0563,584578,584763,NC_004347.2,139
SO0564,585522,586511,NC_004347.2,139
SO0565,586522,587403,NC_004347.2,139
SO0566,587408,588187,NC_004347.2,139
SO0567,588370,589113,NC_004347.2,139
SO0568,589157,589561,NC_004347.2,139
SO0569,589618,590592,NC_004347.2,139
SO0570,590611,591606,NC_004347.2,139
SO0572,592180,592986,NC_004347.2,139
SO0573,593122,594018,NC_004347.2,139
SO0575,594280,597186,NC_004347.2,139
SO0576,597575,598969,NC_004347.2,139
SO0577,599381,602947,NC_004347.2,139
SO0578,603077,605479,NC_004347.2,139
SO0579,605524,607332,NC_004347.2,139
SO0581,607573,607911,NC_004347.2,139
SO0582,608019,608675,NC_004347.2,139
SO0583,608899,609090,NC_004347.2,139
SO0584,609335,610909,NC_004347.2,139
SO0585,610994,611929,NC_004347.2,139
SO0586,612019,612354,NC_004347.2,139
SO0587,612382,613104,NC_004347.2,139
SO0588,613120,616323,NC_004347.2,139
SO0588.2,616840,617277,NC_004347.2,139
SO0588.4,618040,618174,NC_004347.2,139
SO0591,618247,619311,NC_004347.2,139
SO0592,619424,619969,NC_004347.2,139
SO0595,621282,621833,NC_004347.2,139
SO0596,621892,623094,NC_004347.2,139
SO0597,623223,623426,NC_004347.2,139
SO0598,623398,624897,NC_004347.2,139
SO0599,624978,625436,NC_004347.2,139
SO0600,625445,626836,NC_004347.2,139
SO0601,626850,628745,NC_004347.2,139
SO0602,628738,629664,NC_004347.2,139
SO0603,629756,630028,NC_004347.2,139
SO0604,630052,631359,NC_004347.2,139
SO0605,631396,632541,NC_004347.2,139
SO0606,632545,633438,NC_004347.2,139
SO0608,633799,634389,NC_004347.2,139
SO0609,634389,635603,NC_004347.2,139
SO0610,635603,636298,NC_004347.2,139
SO0611,636395,637024,NC_004347.2,139
SO0612,637024,637461,NC_004347.2,139
SO0613,637616,638191,NC_004347.2,139
SO0614,638364,640844,NC_004347.2,139
SO0615,641032,642177,NC_004347.2,139
SO0616,642233,643144,NC_004347.2,139
SO0617,643453,644670,NC_004347.2,139
SO0618,644797,645816,NC_004347.2,139
SO0619,645826,647289,NC_004347.2,139
SO0620,647457,648260,NC_004347.2,139
SO0621,648335,649663,NC_004347.2,139
SO0622,649660,650334,NC_004347.2,139
SO0623,650315,650662,NC_004347.2,139
SO0624,650745,651380,NC_004347.2,139
SO0625,651800,652579,NC_004347.2,139
SO0627,652739,653296,NC_004347.2,139
SO0628,653468,655654,NC_004347.2,139
SO0630,655861,657867,NC_004347.2,139
SO0632,658076,660583,NC_004347.2,139
SO0633,660661,662967,NC_004347.2,139
SO0635,663045,663323,NC_004347.2,139
SO0636,663421,663915,NC_004347.2,139
SO0637,663912,664187,NC_004347.2,139
SO0638,664215,664415,NC_004347.2,139
SO0639,664604,667717,NC_004347.2,139
SO0640,668166,669164,NC_004347.2,139
SO0641,669361,670083,NC_004347.2,139
SO0643,670490,672637,NC_004347.2,139
SO0644,672706,673425,NC_004347.2,139
SO0645,673483,674028,NC_004347.2,139
SO0646,674015,674509,NC_004347.2,139
SO0647,674509,674724,NC_004347.2,139
SO0648,674729,675355,NC_004347.2,139
SO0649,675374,675646,NC_004347.2,139
SO0650,675749,675979,NC_004347.2,139
SO0651,675979,676584,NC_004347.2,139
SO0652,676577,677032,NC_004347.2,139
SO0653,677098,677898,NC_004347.2,139
SO0654,677934,678491,NC_004347.2,139
SO0655,678530,678958,NC_004347.2,139
SO0656,679107,679397,NC_004347.2,139
SO0657,679457,680266,NC_004347.2,139
SO0658,680263,680646,NC_004347.2,139
SO0659,680636,681193,NC_004347.2,139
SO0660,681154,681759,NC_004347.2,139
SO0661,681856,682068,NC_004347.2,139
SO0662,682065,682412,NC_004347.2,139
SO0663,682412,682708,NC_004347.2,139
SO0664,682711,682983,NC_004347.2,139
SO0665,682973,683539,NC_004347.2,139
SO0666,683539,685179,NC_004347.2,139
SO0667,685179,686780,NC_004347.2,139
SO0668,686773,688110,NC_004347.2,139
SO0669,688258,688710,NC_004347.2,139
SO0670,688755,689648,NC_004347.2,139
SO0671,689864,690100,NC_004347.2,139
SO0672,690146,690760,NC_004347.2,139
SO0673,690904,692157,NC_004347.2,139
SO0674,692234,693403,NC_004347.2,139
SO0675,693403,694323,NC_004347.2,139
SO0676,694394,694840,NC_004347.2,139
SO0677,694843,695283,NC_004347.2,139
SO0678,695283,695726,NC_004347.2,139
SO0679,695755,696501,NC_004347.2,139
SO0680,696621,700547,NC_004347.2,139
SO0681,700544,700909,NC_004347.2,139
SO0682,700922,703417,NC_004347.2,139
SO0683,703429,703908,NC_004347.2,139
SO0684,703881,704690,NC_004347.2,139
SO0685,704750,705040,NC_004347.2,139
SO0686,705159,705623,NC_004347.2,139
SO0687,705616,705918,NC_004347.2,139
SO0688,705915,707714,NC_004347.2,139
SO0689,707711,707932,NC_004347.2,139
SO0690,708075,708836,NC_004347.2,139
SO0691,709237,709641,NC_004347.2,139
SO0693,709746,710777,NC_004347.2,139
SO0694,710918,712063,NC_004347.2,139
SO0695,712378,714021,NC_004347.2,139
SO0696,714174,716006,NC_004347.2,139
SO0697,716003,716326,NC_004347.2,139
SO0698,716549,717112,NC_004347.2,139
SO0699,717279,717647,NC_004347.2,139
SO0700,717691,717855,NC_004347.2,139
SO0701,718091,719080,NC_004347.2,139
SO0702,719084,720442,NC_004347.2,139
SO0703,720670,720960,NC_004347.2,139
SO0704,721019,722656,NC_004347.2,139
SO0705,723011,723304,NC_004347.2,139
SO0706,723308,724609,NC_004347.2,139
SO0707,725102,725668,NC_004347.2,139
SO0708,725665,726876,NC_004347.2,139
SO0709,726928,727845,NC_004347.2,139
SO0710,727827,729254,NC_004347.2,139
SO0712,730111,730368,NC_004347.2,139
