tax	Score	N	reference
542	0.97	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/105/GCA_000007105.1_ASM710v1
29459	1	63	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/125/GCA_000007125.1_ASM712v1
339	0.97	16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/145/GCA_000007145.1_ASM714v1
346	0.97	65	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/165/GCA_000007165.1_ASM716v1
2320	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/185/GCA_000007185.1_ASM718v1
83558	1	13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/205/GCA_000007205.1_ASM720v1
13773	0.82	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/225/GCA_000007225.1_ASM722v1
1311	1	113	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/135/GCA_000299135.1_ASM29913v1
2261	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/305/GCA_000007305.1_ASM730v1
851	1	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/325/GCA_000007325.1_ASM732v1
2214	0.82	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/345/GCA_000007345.1_ASM734v1
9	0.97	35	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1
347	0.97	95	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/385/GCA_000007385.1_ASM738v1
1309	0.97	11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/465/GCA_000007465.2_ASM746v2
2039	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/485/GCA_000007485.1_ASM748v1
29461	1	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/505/GCA_000007505.1_ASM750v1
469594	1	24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/525/GCA_000007525.1_ASM752v1
216816	1	24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/525/GCA_000007525.1_ASM752v1
303	0.97	32	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/565/GCA_000007565.2_ASM756v2
837	0.97	21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/585/GCA_000007585.1_ASM758v1
83557	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/605/GCA_000007605.1_ASM760v1
1513	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/625/GCA_000007625.1_ASM762v1
1282	1	19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/925/GCA_000011925.1_ASM1192v1
1575	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/665/GCA_000007665.1_ASM766v1
173	1	13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/685/GCA_000007685.1_ASM768v1
536	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/705/GCA_000007705.1_ASM770v1
157673	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/745/GCA_000007745.1_ASM774v1
777	0.97	17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/765/GCA_000007765.2_ASM776v2
1351	1	38	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/785/GCA_000007785.1_ASM778v1
251701	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/805/GCA_000007805.1_ASM780v1
1396	1	55	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/825/GCA_000007825.1_ASM782v1
1392	1	56	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/845/GCA_000007845.1_ASM784v1
1764	1	33	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1
32025	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/905/GCA_000007905.1_ASM790v1
1219	0.97	11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/925/GCA_000007925.1_ASM792v1
730	0.97	15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/945/GCA_000007945.1_ASM794v1
35554	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/985/GCA_000007985.2_ASM798v2
163164	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/025/GCA_000008025.1_ASM802v1
785	0.95	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/045/GCA_000008045.1_ASM804v1
33959	0.97	11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/065/GCA_000008065.1_ASM806v1
160232	0.89	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/085/GCA_000008085.1_ASM808v1
274	1	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/545/GCA_000091545.1_ASM9154v1
235	1	19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/145/GCA_000008145.1_ASM814v1
158	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/185/GCA_000008185.1_ASM818v1
2099	0.97	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/205/GCA_000008205.1_ASM820v1
2109	0.97	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/245/GCA_000008245.1_ASM824v1
82076	0.82	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/265/GCA_000008265.1_ASM826v1
1639	1	184	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/285/GCA_000008285.1_ASM828v1
2151	1	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/479/355/GCA_000479355.1_ASM47935v1
414	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/325/GCA_000008325.1_ASM832v1
1747	1	20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/345/GCA_000008345.1_ASM834v1
2118	0.99	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/365/GCA_000008365.1_ASM836v1
80849	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/385/GCA_000008385.1_ASM838v1
1402	1	27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/425/GCA_000008425.1_ASM842v1
135577	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/465/GCA_000008465.1_ASM846v1
446	0.97	100	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1
1428	1	51	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/505/GCA_000008505.1_ASM850v1
210	0.97	167	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1
2336	1	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/545/GCA_000008545.1_ASM854v1
1299	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/565/GCA_000008565.1_ASM856v1
1773	1	192	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/585/GCA_000008585.1_ASM858v1
160	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/605/GCA_000008605.1_ASM860v1
63363	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/625/GCA_000008625.1_ASM862v1
145262	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/645/GCA_000008645.1_ASM864v1
2234	0.95	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/035/GCA_000734035.1_ASM73403v1
139	0.97	10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/465/GCA_000444465.1_ASM44446v1
813	1	86	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1
1488	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/765/GCA_000008765.1_ASM876v1
487	0.99	101	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/165/GCA_000816165.1_ASM81616v1
51229	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/565/GCA_000247565.1_ASM24756v1
1624	1	8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/925/GCA_000008925.1_ASM892v1
263	0.97	41	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/985/GCA_000008985.1_ASM898v1
1280	1	449	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/005/GCA_000009005.1_ASM900v1
61435	1	25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/695/GCA_000341695.1_ASM34169v1
1423	1	118	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/045/GCA_000009045.1_ASM904v1
197	1	170	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1
305	0.97	46	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/125/GCA_000009125.1_ASM912v1
915	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/145/GCA_000009145.1_ASM914v1
456327	0.97	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/165/GCA_000009165.1_ASM916v1
293091	0.9	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/185/GCA_000009185.1_ASM918v1
1496	0.97	64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/205/GCA_000009205.2_ASM920v2
294	0.97	25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/225/GCA_000009225.1_ASM922v1
384	1	12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/265/GCA_000009265.1_ASM926v1
106590	1	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/285/GCA_000009285.2_ASM928v2
212	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/305/GCA_000009305.1_ASM930v1
630	1	21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/345/GCA_000009345.1_ASM934v1
59754	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/365/GCA_000009365.1_ASM936v1
1281	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/405/GCA_000009405.1_ASM940v1
1765	1	20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/445/GCA_000009445.1_ASM944v1
95486	0.97	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/485/GCA_000009485.1_ASM948v1
1349	0.97	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/545/GCA_000009545.1_ASM954v1
1502	1	14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/685/GCA_000009685.1_ASM968v1
103690	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/705/GCA_000009705.1_ASM970v1
1148	0.97	7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/725/GCA_000009725.1_ASM972v1
672	0.97	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/745/GCA_000009745.1_ASM974v1
33903	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/765/GCA_000009765.2_ASM976v2
1462	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/785/GCA_000009785.1_ASM978v1
37329	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/805/GCA_000009805.1_ASM980v1
79880	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/825/GCA_000009825.1_ASM982v1
100379	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/845/GCA_000009845.1_ASM984v1
1283	1	10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/865/GCA_000009865.1_ASM986v1
573	1	384	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/784/945/GCA_000784945.1_ASM78494v1
2734	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/905/GCA_000009905.1_ASM990v1
817	0.97	14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/925/GCA_000009925.1_ASM992v1
665938	0.97	14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/925/GCA_000009925.1_ASM992v1
469587	0.97	14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/925/GCA_000009925.1_ASM992v1
83556	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/945/GCA_000009945.1_ASM994v1
311400	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/965/GCA_000009965.1_ASM996v1
84159	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/985/GCA_000009985.1_ASM998v1
1598	1	14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/005/GCA_000010005.1_ASM1000v1
49338	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/045/GCA_000010045.1_ASM1004v1
32046	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1
63612	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/085/GCA_000010085.1_ASM1008v1
1833	1	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/105/GCA_000010105.1_ASM1010v1
29385	1	12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/125/GCA_000010125.1_ASM1012v1
1613	1	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/145/GCA_000010145.1_ASM1014v1
1393	1	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/275/GCA_001039275.2_ASM103927v2
1260	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/185/GCA_000010185.1_ASM1018v1
784	0.97	8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/205/GCA_000010205.1_ASM1020v1
1718	1	26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/325/GCA_000011325.1_ASM1132v1
1534	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/265/GCA_000010265.1_ASM1026v1
72000	1	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/285/GCA_000010285.1_ASM1028v1
173480	0.5	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/305/GCA_000010305.1_ASM1030v1
387092	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/325/GCA_000010325.1_ASM1032v1
387093	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/345/GCA_000010345.1_ASM1034v1
114186	0.8	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/287/275/GCA_000287275.1_ASM28727v1
410330	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/405/GCA_000010405.1_ASM1040v1
1680	1	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/425/GCA_000010425.1_ASM1042v1
7	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/525/GCA_000010525.1_ASM1052v1
87883	0.97	10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/545/GCA_000010545.1_ASM1054v1
110500	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/565/GCA_000010565.1_ASM1056v1
69966	0.99	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/585/GCA_000010585.1_ASM1058v1
1911	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/605/GCA_000010605.1_ASM1060v1
1126	0.97	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/625/GCA_000010625.1_ASM1062v1
511435	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/645/GCA_000010645.1_ASM1064v1
184917	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/665/GCA_000010665.1_ASM1066v1
1334	1	18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/705/GCA_000010705.1_ASM1070v1
193	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/655/GCA_000283655.1_ASM28365v1
940	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/905/GCA_000164905.1_ASM16490v1
37919	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/805/GCA_000010805.1_ASM1080v1
438	0.97	13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/825/GCA_000010825.1_ASM1082v1
197162	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/985/GCA_000010985.1_ASM1098v1
570267	0.5	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/005/GCA_000011005.1_ASM1100v1
43675	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/025/GCA_000011025.1_ASM1102v1
47715	1	20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/045/GCA_000011045.1_ASM1104v1
818	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/065/GCA_000011065.1_ASM1106v1
469586	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/065/GCA_000011065.1_ASM1106v1
2238	0.94	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/085/GCA_000011085.1_ASM1108v1
53953	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1
56636	0.85	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/125/GCA_000011125.1_ASM1112v1
86665	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/145/GCA_000011145.1_ASM1114v1
50339	0.9	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/185/GCA_000011185.1_ASM1118v1
111955	0.88	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/205/GCA_000011205.1_ASM1120v1
28227	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/225/GCA_000011225.1_ASM1122v1
182710	1	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/245/GCA_000011245.1_ASM1124v1
152794	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/305/GCA_000011305.1_ASM1130v1
146786	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/345/GCA_000011345.1_ASM1134v1
1355477	0.97	6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/365/GCA_000011365.1_ASM1136v1
33072	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/385/GCA_000011385.1_ASM1138v1
2102	1	33	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/800/785/GCA_000800785.1_ASM80078v1
28450	0.97	101	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/545/GCA_000011545.1_ASM1154v1
362787	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/565/GCA_000011565.1_ASM1156v1
39152	0.9	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/585/GCA_000011585.1_ASM1158v1
29471	1	4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/605/GCA_000011605.1_ASM1160v1
442	0.97	5	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/685/GCA_000011685.1_ASM1168v1
13373	0.97	28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/705/GCA_000011705.1_ASM1170v1
101534	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/745/GCA_000011745.1_ASM1174v1
731	1	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/785/GCA_000011785.1_ASM1178v1
668	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/805/GCA_000011805.1_ASM1180v1
1308	1	27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/825/GCA_000011825.1_ASM1182v1
770	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/945/GCA_000011945.1_ASM1194v1
89184	0.93	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/965/GCA_000011965.2_ASM1196v2
1579	1	8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/985/GCA_000011985.1_ASM1198v1
622	1	26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/505/GCA_000497505.1_ASM49750v1
621	1	14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/025/GCA_000012025.1_ASM1202v1
142	1	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/085/GCA_000012085.2_ASM1208v2
42862	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/145/GCA_000012145.1_ASM1214v1
727	1	64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/185/GCA_000012185.1_ASM1218v1
29438	0.97	2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/205/GCA_000012205.1_ASM1220v1
229545	0.95	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/225/GCA_000012225.1_ASM1222v1
317	0.97	27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/245/GCA_000012245.1_ASM1224v1
380021	0.97	8	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/265/GCA_000012265.1_ASM1226v1
2285	0.87	9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/508/305/GCA_000508305.1_ASM50830v1
334543	0.5	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/305/GCA_000012305.1_ASM1230v1
28229	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/325/GCA_000012325.1_ASM1232v1
198252	0.97	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/345/GCA_000012345.1_ASM1234v1
57975	0.97	21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/365/GCA_000012365.1_ASM1236v1
33990	0.97	3	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/385/GCA_000012385.1_ASM1238v1
2021	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/405/GCA_000012405.1_ASM1240v1
259537	0.4	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/425/GCA_000012425.1_ASM1242v1
1100	1	1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/485/GCA_000012485.1_ASM1248v1
