biggID,seedID,gpr_iML1515,gpr_carveme,test.cm,gpr_modelseed,test.ms,gpr_gapseq,test.gs
MALTabcpp,rxn05170,(b4033 and b4035 and b4032 and b4034),((b1756 and b4032) or (b4034 and b4035) or (b4032 and b4033 and b4034 and b4035)),FALSE,(b4036 or b4035),FALSE,((b3450 or b0262 or b1318 or b4035 or b0855 or b1126 or b1441) and (b4391 or b1756 or b0949 or b2129 or b2422 or b0820)) or b4033 or b4034 or b4032 or b0829,FALSE
MALTTRabcpp,rxn05608,(b4034 and b4035 and b4033 and b4032),((b1756 and b4032) or (b4034 and b4035) or (b4032 and b4033 and b4034 and b4035)),FALSE,(b4036 or (Unknown and Unknown and Unknown and b4035)),FALSE,((b3450 or b0262 or b1318 or b4035 or b0855 or b1126 or b1441) and (b4391 or b1756 or b0949 or b2129 or b2422 or b0820)),FALSE
METabcpp,rxn05219,(b0198 and b0197 and b0199),((b0198 and b3463) or (b0197 and b0198 and b0199) or (b3270 and b3271 and b3269)),FALSE,(b0197 and b0198 and Unknown),FALSE,b0199,FALSE
MNLptspp,rxn05617,((b2415 and b3599 and b2416) or (b2415 and b2934 and b2933 and b2416) or (b2415 and b2704 and b2702 and b2703 and b2416)),((b2415 and b2933) or (b2415 and b2416 and b3599)),FALSE,((b2933 or b3599) and b3599 and (b2383 or b2416 or b3947) and (b3599 or b2933) and Unknown),FALSE,b2933 or b2934,FALSE
PTRCabcpp,rxn05163,((b0854 and b0855 and b0857 and b0856) or (b1440 and b1442 and b1441 and b1443) or (b1125 and b1126 and b1124 and b1123)),(b0262 or b0490 or b1756 or b3486 or (b1440 and b1441) or (b1440 and b1441 and b1443) or (b1440 and b1442 and b1443) or (b0854 and b0855 and b0856 and b0857) or (b1123 and b1124 and b1125 and b1126) or (b1440 and b1441 and b1442 and b1443)),FALSE,(Unknown and b0855 and b0857 and b0856 and Unknown and Unknown and Unknown),FALSE,b0855 or b0854 or b1126 or b1123 or b0856 or b1125 or b1124 or b0857 or b1441,FALSE
GLNabcpp,rxn05155,(b0811 and b0809 and b0810),(b4106 or (b0809 and b0810 and b0811)),FALSE,b0809,FALSE,b0809 or b3271 or b0810 or b3268 or b3269 or b3270,FALSE
GLUabcpp,rxn05146,(b0653 and b0655 and b0654 and b0652),((b0653 and b0654 and b0655) or (b3270 and b3271 and b3269) or (b0652 and b0653 and b0654 and b0655)),FALSE,(Unknown and b3268 and Unknown and Unknown),FALSE,b0654 or b0652 or b0653 or b3268 or b3271 or b3269 or b3270,FALSE
HISabcpp,rxn05164,(b2307 and b2306 and b2308 and b2309),((b2306 and b2307 and b2309) or (b3270 and b3271 and b3269) or (b2306 and b2307 and b2308 and b2309)),FALSE,(b2308 or b2306 or b2307),FALSE,b2309 or b2306 or b2307 or b2308,FALSE
GLUDy,rxn00184,(b1761 or (b3213 and b3212)),b1761,FALSE,b1761,FALSE,b1761,FALSE
GLCptspp,rxn05226,((b1621 and b2415 and b2417 and b2416) or (b1101 and b2416 and b2415 and b2417) or (b1819 and b2415 and b1818 and b1817 and b2416)),(b2415 or (b2415 and b2417) or (b1101 and b2415 and b2417) or (b2415 and b2416 and b2417) or (b1101 and b2415 and b2416 and b2417) or (b1621 and b2415 and b2416 and b2417) or (b1818 and b1819 and b2415 and b2416) or (b1817 and b1818 and b1819 and b2415 and b2416)),FALSE,((b2417 and b1101 and b1101) or ((b2383 or b2416 or b3947) and Unknown and b1101 and b1101 and b2417) or ((b3682 or b1621 or b3683) and (b3683 or b1621 or b3682))),FALSE,b1621 or b1101 or b0679 or b2417,FALSE
GLYC3Pabcpp,rxn05158,(b3452 and b3451 and b3453 and b3450),(b1311 or (b0262 and b3452 and b3453) or (b3451 and b3452 and b3453) or (b3450 and b3451 and b3452 and b3453)),FALSE,(b3450 or b3451 or b3452),FALSE,b3453 or b3450 or b3452 or b3451 or b1318,FALSE
SPMDabcpp,rxn05175,((b1123 and b1125 and b1124 and b1126) or (b1443 and b1442 and b1441 and b1440)),(b0490 or b1756 or (b1440 and b1441) or (b1440 and b1441 and b1443) or (b1440 and b1442 and b1443) or (b1123 and b1124 and b1125 and b1126) or (b1440 and b1441 and b1442 and b1443)),FALSE,(Unknown and Unknown and b0856 and Unknown and b0855 and Unknown and b0857),FALSE,b1126 or b1123 or b1125 or b1124 or b0855 or b1441,FALSE
RNDR2,rxn05233,((b3781 and (b2234 and b2235)) or (b2582 and (b2234 and b2235))),(b0492 or b2674 or (b2234 and b2235) or (b0492 and b2234 and b2235) or (b2234 and b2235 and b2582) or (b2234 and b2235 and b3781)),FALSE,(b2235 or (b2675 and b2674 and b2676) or b2234),FALSE,((b2675 or b2234) and (b2235 or b2676)),FALSE
XAND,rxn01522,(b2866 and b2867 and b2868),(b2875 or b2880 or (b0285 and b0286) or (b2866 and b2867 and b2868)),FALSE,(b0285 or (b2867 and b2866 and b2868)),FALSE,((b2866 or b2867 or b2881 or b0284)),FALSE
GLUSy,rxn00085,(b3213 and b3212),(b2468 or b2878 or b3213 or (b3212 and b3213)),FALSE,(b3213 and b3212),TRUE,(b3212 and (b3213 or b2468 or b2887)),FALSE
IG3PS,rxn03135,(b2023 and b2025),(b2025 or (b2023 and b2025)),FALSE,(b2025 and Unknown),FALSE,(b2025 and b2023),TRUE
MANptspp,rxn05610,(b1819 and b1818 and b1817 and b2416 and b2415),(b2415 or (b1818 and b1819 and b2415 and b2416) or (b1817 and b1818 and b1819 and b2415 and b2416)),FALSE,(b1819 or (b1817 and b1818 and (b2416 or b2383 or b3947) and b1817 and Unknown)),FALSE,b1819,FALSE
MALTptspp,rxn05607,(b1621 and b2417 and b2415 and b2416),((b2415 and b2417) or (b2415 and b2416 and b2417) or (b1621 and b2415 and b2416 and b2417)),FALSE,(b4036 or ((b1621 or b3682 or b3683) and Unknown and (b2383 or b2416 or b3947) and (b3682 or b1621 or b3683))),FALSE,b1621,FALSE
HXAND,rxn01297,(b2866 and b2867 and b2868),(b2875 or b2880 or (b0285 and b0286) or (b2866 and b2867 and b2868)),FALSE,(b0285 or b2866 or b2867 or b2868),FALSE,((b2866 or b2867 or b2881 or b0284)),FALSE
SUCOAS,rxn00285,(b0729 and b0728),(b0320 or (b0728 and b0729)),FALSE,(b0729 and b0728),TRUE,(b0729 and b0728),TRUE
SUCDi,rxn09272,(b0721 and b0722 and b0723 and b0724),((b0723 and b0724) or (b0722 and b0723 and b0724) or (b0721 and b0722 and b0723 and b0724)),FALSE,(b0723 or (b0722 and b0721 and b4154 and Unknown and b4152 and b4151) or (b0724 and b0723)),FALSE,((b0723 or b4154) and (b4153 or b0724 or b2574)),FALSE
OBTFL,rxn04794,(((b0902 and b0903) and b2579) or (b0902 and b0903) or (b0902 and b3114)),(b0824 or b0902 or b4379 or b3114 or (b0823 and b0824) or (b0902 and b0903) or (b0902 and b2579) or (b0902 and b3114) or (b0902 and b0903 and b2579) or (b0902 and b2579 and b3114)),FALSE,((b0903 or b3951 or b0823 or b3114) or b3114),FALSE,b0823 or b3951 or b3114 or b0903,FALSE
GLYCTO3,rxn08656,(b2979 and b4468 and b4467),(b1687 or b2979 or (b2979 and b4468) or (b2979 and b4467 and b4468)),FALSE,(b2979 and b4467 and b4468),TRUE,,
GLYCTO4,rxn08657,(b2979 and b4468 and b4467),(b2979 or (b2979 and b4468) or (b2979 and b4467 and b4468)),FALSE,(b4468 and b2979 and b4467),TRUE,,
ACCOAC,rxn00533,(b2316 and b3255 and b3256 and b0185),((b0185 and b3256) or (b0185 and b2316 and b3256) or (b0185 and b2316 and b3255 and b3256)),FALSE,,,(b3256),FALSE
TARTD,rxn00245,(b3062 and b3061),(b3061 or b3062 or (b3061 and b3062)),FALSE,(b3062 or b3061),FALSE,,
CINNDO,rxn04598,(b2542 and b2538 and b2540 and b2539),,,(b2538 or b2539),FALSE,(b2538 and b2539),FALSE
CITL,rxn00265,(b0614 and (b0617 and b0616 and b0615)),((b0614 and b0615 and b0616) or (b0615 and b0616 and b0617) or (b0614 and b0615 and b0616 and b0617)),FALSE,(b0616 or b0615 or b0617),FALSE,,
SADT2,rxn09240,(b2752 and b2751),(b3339 or (b2751 and b2752) or (b2752 and b4375)),FALSE,(b2751 and b2752),TRUE,,
ACACCT,rxn00990,((b2222 and b2221) or b1694),(b2221 or b2222 or (b2221 and b2222)),FALSE,,,((b2221 or b1694) and b2222 and b2920),FALSE
TGBPA,rxn00787,((b3132 and b3137) or (b2095 and b2096)),(b2096 or (b2095 and b2096) or (b3132 and b3137)),FALSE,,,((b2096 or b3137) and (b2095 or b3132)),FALSE
G3PD6,rxn08557,(b2243 and b2242 and b2241),(b2241 and b2242 and b2243),TRUE,(b3426 or (b2242 and b2241)),FALSE,,
FMNRx2,rxn03975,(b3844 or b0937 or (b2764 and b2763)),(b0937 or b2764 or b3713 or b3844 or (b2763 and b2764)),FALSE,,,b0937 or b0851,FALSE
NTRIR2x,rxn00568,(b3366 and b3365),(b3365 or b3366 or (b3365 and b3366)),FALSE,(b3365 and b3366 and Unknown),FALSE,,
TAURabcpp,rxn05172,(b0365 and b0367 and b0366),(b0367 or (b0366 and b0367) or (b0365 and b0366 and b0367)),FALSE,,,b0366 or b0365 or b0367,FALSE
Kt2pp,rxn05595,((b3849 and b1291 and b3290) or b1250 or (b1291 and b1363 and b3290) or b3747),(b1250 or b3747 or b3849 or (b1291 and b1363) or (b1291 and b3290) or (b1291 and b3849) or (b1291 and b1363 and b3290) or (b1291 and b3290 and b3849)),FALSE,,,b3350 or b3290 or b3849 or b1363 or b3351 or b0046 or b3747,FALSE
THRabcpp,rxn05169,(b3456 and b3455 and b3460 and b3457 and b3454),(b4058 or (b3454 and b3455 and b3456 and b3460) or (b3454 and b3455 and b3456 and b3457 and b3460)),FALSE,,,b3458 or b3454 or b3455,FALSE
THD2pp,rxn09295,(b1602 and b1603),(b1602 and b1603),TRUE,,,(b1603 and b1602) or b3962 or b0116,FALSE
VALabcpp,rxn05168,(b3457 and b3456 and b3460 and b3455 and b3454),(b4058 or (b3270 and b3271 and b3269) or (b3454 and b3455 and b3456 and b3460) or (b3454 and b3455 and b3456 and b3457 and b3460)),FALSE,,,b3458 or b3454 or b3455,FALSE
XYLabcpp,rxn05167,(b3568 and b3566 and b3567),(b0760 or (b3566 and b3568) or (b3567 and b3568) or (b3566 and b3567 and b3568)),FALSE,,,b3568 or b3567 or b3566,FALSE
FECRMabcpp,rxn05188,(b0153 and b0152 and b0151),,,(b0152 and b0151 and Unknown and b0153),FALSE,b0153 or b0152 or b0151 or b0588,FALSE
ATPS4rpp,rxn08173,((b3739 and (b3731 and b3733 and b3735 and b3734 and b3732) and (b3738 and b3736 and b3737)) or ((b3731 and b3733 and b3735 and b3734 and b3732) and (b3738 and b3736 and b3737))),((b3732 and b3733 and b3734 and b3736 and b3737) or (b3731 and b3732 and b3733 and b3734 and b3735 and b3737 and b3738) or (b3731 and b3732 and b3733 and b3734 and b3735 and b3736 and b3737 and b3738) or (b3731 and b3732 and b3733 and b3734 and b3735 and b3736 and b3737 and b3738 and b3739)),FALSE,,,((b3734 or b2491 or b4004 or b2731 or b3868 or b3738) and b3732 and b3733 and b3735 and b3731 and (b0584 or b1336 or b1941 or b2844 or b2224 or b1662 or b3124 or b0514 or b0284 or b2149 or b3849 or b1397 or b0820 or b3749 or b4485 or b4087 or b2330 or b2547 or b2980 or b2026 or b2155 or b1513 or b3352 or b1900 or b3567 or b3845 or b3736 or b1363)),FALSE
ALAabcpp,rxn08097,(b3454 and b3456 and b3455 and b3460 and b3457),((b3454 and b3455 and b3456 and b3460) or (b3454 and b3455 and b3456 and b3457 and b3460)),FALSE,,,b3458,FALSE
ASCBptspp,rxn08158,(b4195 and b4193 and b2415 and b2416 and b4194),((b2415 and b2416 and b4193 and b4194) or (b2415 and b2416 and b4193 and b4195) or (b2415 and b2416 and b4194 and b4195) or (b2415 and b2416 and b2934 and b4193 and b4194) or (b2415 and b2416 and b4193 and b4194 and b4195)),FALSE,,,b4193 or b4194,FALSE
CHLabcpp,rxn05159,(b2129 and b2128 and b2131 and b2130),(b0794 or (b2128 and b2129 and b2130) or (b2128 and b2130 and b2131) or (b2128 and b2129 and b2130 and b2131)),FALSE,,,b2129,FALSE
CYSabcpp,rxn05237,(b1918 and b1920 and b1917),(b1917 and b1918 and b1920),TRUE,,,b1917,FALSE
SBTptspp,rxn09242,(b2416 and b2704 and b2703 and b2702 and b2415),((b2415 and b2416 and b2704) or (b2415 and b2416 and b2702) or (b2415 and b2416 and b2704 and b2702 and b2703)),FALSE,,,b2703 or b2704,FALSE
CYTBDpp,rxn08288,((b0978 and b0979) or (b0734 and b0733 and b4515)),(b0734 or b0979 or (b0733 and b0734) or (b0978 and b0979)),FALSE,,,((b0733 or b0978) and (b0979 or b0734)),FALSE
CYTBD2pp,rxn08287,(b0978 and b0979),(b0979 or (b0978 and b0979)),FALSE,,,(b0431 and b0430),FALSE
CYSabc2pp,rxn08280,(b0887 and b0886),(b0886 and b0887),TRUE,,,b1917,FALSE
L_LACD3,rxn08793,((b0306 and b0308 and b0307) or b3605),(b3605 or (b0306 and b0307 and b0308)),TRUE,b3605,FALSE,,
L_LACD2,rxn08792,((b0308 and b0306 and b0307) or b3605),(b3605 or (b0306 and b0307 and b0308)),TRUE,b3605,FALSE,,
PAPSR2,rxn09069,((b3610 and b2762) or (b0849 and b2762) or (b1064 and b2762) or (b1654 and b2762)),(b2762 or (b0849 and b2762) or (b1064 and b2762) or (b1654 and b2762) or (b2762 and b3610)),FALSE,,,b2762,FALSE
Kabcpp,rxn08762,((b0698 and b0697 and b0696) or (b0698 and b0696 and b0697 and b4513)),(b0697 or b4513 or (b0697 and b0698) or (b0696 and b0697 and b0698) or (b0696 and b0697 and b0698 and b4513)),FALSE,,,b0697 or b0698 or b0696 or b4242,FALSE
LEUabcpp,rxn05161,((b3455 and b3460 and b3457 and b3454 and b3456) or (b3458 and b3456 and b3455 and b3457 and b3454)),(b4058 or (b3270 and b3271 and b3269) or (b3454 and b3455 and b3456 and b3458) or (b3454 and b3455 and b3456 and b3460) or (b3454 and b3455 and b3456 and b3457 and b3458) or (b3454 and b3455 and b3456 and b3457 and b3460)),FALSE,,,b3458 or b3454 or b3455,FALSE
ORNabcpp,rxn05156,(b2307 and b2308 and b2306 and b2310),((b2306 and b2307) or (b2306 and b2307 and b2308) or (b2306 and b2307 and b2310) or (b2306 and b2307 and b2308 and b2310)),FALSE,,,b2306 or b2310,FALSE
PIuabcpp,rxn05145,(b3725 and b3727 and b3728 and b3726),(b3725 or (b3725 and b3727 and b3728) or (b3725 and b3726 and b3727 and b3728)),FALSE,,,((b0829 or b3456 or b4391 or b0127 or b2180 or b4097 or b3201 or b0652 or b1247 or b3540 or b3725 or b0914 or b3454 or b1246 or b3271 or b3195 or b4106 or b3541 or b0588 or b0448 or b1496 or b0809 or b1682 or b3455 or b1917 or b1484 or b0949 or b0490 or b1483 or b2306 or b2149 or b1126 or b4485 or b2547 or b4087 or b0887 or b4287 or b3749 or b3567 or b0262 or b1441 or b0879 or b0855 or b0864 or b1291 or b3352 or b2422 or b2129 or b0886 or b0449 or b1117 or b1290)) or b1779,FALSE
METDabcpp,rxn05183,(b0198 and b0199 and b0197),,,(b0197 and b0198 and Unknown),FALSE,b0199 or b0197 or b0198,FALSE
ILEabcpp,rxn05179,(b3456 and b3455 and b3460 and b3457 and b3454),(b4058 or (b3270 and b3271 and b3269) or (b3454 and b3455 and b3456 and b3460) or (b3454 and b3455 and b3456 and b3457 and b3460)),FALSE,,,b3458 or b3454 or b3455,FALSE
PROabcpp,rxn05165,(b2677 and b2678 and b2679),(b0794 or b2677 or b3195 or (b2678 and b2679) or (b2677 and b2678 and b2679) or (b3270 and b3271 and b3269)),FALSE,,,b2678 or b2677 or b2129,FALSE
MOBDabcpp,rxn05619,((b0764 and b0765 and b0763) or (b2422 and b2423 and b2424 and b3917) or (b2425 and b2422 and b2423 and b2424)),(b0262 or b0764 or (b0763 and b0764 and b0765) or (b2422 and b2424 and b2425) or (b2422 and b2424 and b3917) or (b2422 and b2424 and b2423) or (b2422 and b2424 and b2425 and b2423) or (b2422 and b2424 and b3917 and b2423)),FALSE,,,b0763,FALSE
CRNabcpp,rxn05180,(b2679 and b2677 and b2678),(b0794 or b2677 or b3195 or (b2678 and b2679) or (b2677 and b2678 and b2679)),FALSE,,,b2129,FALSE
RIBabcpp,rxn05160,((b4230 and b4227 and b4485 and b4231) or (b3750 and b3751 and b3749 and b3748) or (b4088 and b4086 and b4087)),(b1513 or (b0760 and b3075) or (b3748 and b3749) or (b4086 and b4088) or (b4087 and b4088) or (b4227 and b4485) or (b4230 and b4485) or (b4231 and b4485) or (b3748 and b3749 and b3751) or (b3749 and b3750 and b3751) or (b4086 and b4087 and b4088) or (b4227 and b4230 and b4231) or (b4227 and b4230 and b4485) or (b4227 and b4231 and b4485) or (b4230 and b4231 and b4485) or (b3748 and b3749 and b3750 and b3751) or (b4227 and b4230 and b4231 and b4485)),FALSE,,,b3751 or b3750 or b3749,FALSE
GLYBabcpp,rxn05181,((b2131 and b2129 and b2130 and b2128) or (b2677 and b2679 and b2678)),(b0794 or (b2128 and b2129 and b2130) or (b2128 and b2130 and b2131) or (b2128 and b2129 and b2130 and b2131)),FALSE,,,b2679 or b2677 or b2129,FALSE
LYSabcpp,rxn05151,(b2308 and b2306 and b2310 and b2307),(b4106 or (b2306 and b2307) or (b2306 and b2307 and b2308) or (b2306 and b2307 and b2310) or (b2306 and b2307 and b2308 and b2310)),FALSE,,,b2310,FALSE
GALTptspp,rxn05567,(b2092 and b2415 and b2094 and b2093 and b2416),((b2093 and b2094 and b2415 and b2416) or (b2094 and b2415 and b2416 and b4304) or (b2415 and b2416 and b4304 and b4565) or (b2093 and b2094 and b2415 and b2416 and b4304)),FALSE,(b2093 and (b2092 or b2092) and (b3947 or b2416 or b2383) and b2094 and Unknown),FALSE,,
